variety,price_performace,,,
Mandilaria,3.54,,,
Mansois,5.17214912280702,,,
Mantonico,3.209,,,
Manzoni,4.39538735345023,,,
Marawi,2.50476190476191,,,
Maria Gomes,8,,,
Maria Gomes-Bical,3.44,,,
Marquette,4.71362229102167,,,
Marsanne,3.30056827356233,,,
Marsanne-Roussanne,3.34516045250495,,,
Marsanne-Viognier,3.37142857142857,,,
Marselan,3.89593253968254,,,
Marzemino,4.45457875457875,,,
Mataro,2.69616137566138,,,
Maturana,2.01772486772487,,,
Mauzac,4.98396727111897,,,
Mavrodaphne,6.18648018648019,,,
Mavrokalavryta,5.73333333333333,,,
Mavrotragano,1.8,,,
Mavroudi,7.25,,,
Mavrud,6.46530278778178,,,
Mazuelo,1.71493816061894,,,
Melnik,3.99480676328503,,,
Melon,5.73173783200658,,,
Mencía,4.21923730252849,,,
Meritage,3.12498032841983,,,
Merlot,4.37253218975325,,,
Merlot-Argaman,7.08333333333333,,,
Merlot-Cabernet,5.95623769454985,,,
Merlot-Cabernet Franc,2.48378791553199,,,
Merlot-Cabernet Sauvignon,5.02114745038918,,,
Merlot-Grenache,8.9,,,
Merlot-Malbec,4.51781045751634,,,
Merlot-Petite Verdot,4.15,,,
Merlot-Shiraz,4.77777777777778,,,
Merlot-Syrah,4.30555555555556,,,
Merlot-Tannat,5.59,,,
Merseguera-Sauvignon Blanc,9.44444444444444,,,
Meseguera,2.6,,,
Misket,4.47368421052632,,,
Mission,3.95735827664399,,,
Molinara,3.48,,,
Monastrell,5.90931058312526,,,
Monastrell-Petit Verdot,4.65353260869565,,,
Monastrell-Syrah,5.76631894833865,,,
Mondeuse,3.72829070052754,,,
Monica,5.51071428571429,,,
Montepulciano,4.79948942730836,,,
Morava,3.34615384615385,,,
Morillon,3.38453274238989,,,
Morio Muskat,5.14583333333333,,,
Moscadello,2.36652236652237,,,
Moscatel,4.0176495233642,,,
Moscatel Graúdo,6.73076923076923,,,
Moscatel Roxo,4.11947368421053,,,
Moscatel de Alejandría,4.95467372134039,,,
Moscato,6.44469618210805,,,
Moscato Giallo,4.20828385065227,,,
Moscato Rosa,2.71621621621622,,,
Moscato di Noto,2.3,,,
Moschofilero,5.96352847931795,,,
Moschofilero-Chardonnay,6.53846153846154,,,
Mourvèdre,2.82939469903387,,,
Mourvèdre-Syrah,2.88463937621832,,,
Mtsvane,4.75064102564103,,,
Muscadel,2.93333333333333,,,
Muscadelle,2.4102239449567,,,
Muscadine,3.845,,,
Muscat,4.69335352879806,,,
Muscat Blanc,4.34385964912281,,,
Muscat Blanc à Petits Grains,5.8,,,
Muscat Canelli,5.14520883196775,,,
Muscat Hamburg,5.93244949494949,,,
Muscat d'Alexandrie,4.86,,,
Muscat of Alexandria,4.63333333333333,,,
Muscatel,5.00818713450292,,,
Muskat,5.59615384615385,,,
Muskat Ottonel,6.43462694712695,,,
Muskateller,3.41149535886109,,,
Müller-Thurgau,4.82255522311553,,,
Narince,4.30571428571429,,,
Nascetta,3.41572747176195,,,
Nasco,3.09318181818182,,,
Nebbiolo,1.7671188480078,,,
Negrette,4.64226209463052,,,
Negroamaro,5.50742041949401,,,
Nerello Cappuccio,2.62904761904762,,,
Nerello Mascalese,2.93997705939467,,,
Nero d'Avola,4.92673568307223,,,
Nero di Troia,3.99256691565515,,,
Neuburger,3.77344593009618,,,
Nielluciu,3.8219696969697,,,
Norton,3.81172960318329,,,
Nosiola,3.56790674603175,,,
Nuragus,5.52083333333333,,,
Ojaleshi,4.88888888888889,,,
Okuzgozu,4.08846648581744,,,
Ondenc,6,,,
Orange Muscat,4.79812336972789,,,
Orangetraube,4.09090909090909,,,
Other,3.2962962962963,,,
Otskhanuri Sapere,3,,,
Pallagrello,3.13751521438974,,,
Pallagrello Bianco,3.04472222222222,,,
Pallagrello Nero,2.4759298245614,,,
Palomino,3.5847498643332,,,
Pansa Blanca,5.34388373531231,,,
Papaskarasi,4.1,,,
Paralleda,7.54545454545455,,,
Parraleta,6.14285714285714,,,
Passerina,5.50539244089244,,,
País,4.61111111111111,,,
Pecorino,4.75476424471185,,,
Pedro Ximénez,4.56246286902724,,,
Perricone,3.51276524644946,,,
Petit Courbu,4.63157894736842,,,
Petit Manseng,3.35693109014843,,,
Petit Meslier,,,,
Petit Verdot,2.59036449052343,,,
Petite Sirah,3.38850448836055,,,
Petite Verdot,2.41749323120343,,,
Picapoll,3.90476190476191,,,
Picolit,1.55034415578086,,,
Picpoul,5.04929846175521,,,
Piedirosso,4.65135180995475,,,
Pigato,3.65217391304348,,,
Pignoletto,5.14907407407407,,,
Pignolo,1.31428571428571,,,
Pinot Auxerrois,3.9333743272911,,,
Pinot Bianco,4.04328239103041,,,
Pinot Blanc,4.66643921862103,,,
Pinot Blanc-Chardonnay,3.7625373821026,,,
Pinot Blanc-Pinot Noir,5.3125,,,
Pinot Blanc-Viognier,4.57894736842105,,,
Pinot Grigio,6.07305279438491,,,
Pinot Grigio-Sauvignon Blanc,2.48571428571429,,,
Pinot Gris,4.56079353353953,,,
Pinot Gris-Gewürztraminer,4.5,,,
Pinot Meunier,2.42323855652174,,,
Pinot Nero,3.13772784128078,,,
Pinot Noir,2.60040272270011,,,
Pinot Noir-Gamay,5.05400945317825,,,
Pinot Noir-Syrah,3.91527777777778,,,
Pinot-Chardonnay,3.15395962732919,,,
Pinotage,5.05162940384549,,,
Pinotage-Merlot,8.4,,,
Piquepoul Blanc,6.76923076923077,,,
Plavac Mali,3.34709481093382,,,
Plyto,4.46447368421053,,,
Port,2.55092767725063,,,
Portuguese Red,5.48553769185907,,,
